Model,GPU,TP,PP,Energy/req (J),Avg TPOT (s),Token tput (tok/s),Avg Output Tokens,Avg BS (reqs),Max BS (reqs)
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,344.32704070928304,0.33190578974150675,1848.957254518802,387.2855,1244.5759312320918,1280
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,342.5744887153678,0.33733549278952996,1890.2849911763321,387.9345,1464.7145748987855,1536
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,625.2197333844545,0.17125744286953287,1031.7301106575553,387.518,191.57543062653795,192
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,564.0029464497168,0.18726446676489458,1177.797027760558,385.225,255.3534037847137,256
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,533.9531246408541,0.20797933807476648,1251.661292813991,387.493,319.068884309685,320
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,442.55029749049646,0.2513864488190604,1465.1253256261512,388.6765,509.6296468401487,512
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,1274.24844823576,0.1196186187139412,492.71377440319554,382.336,63.84881486226778,64
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,397.5111574583213,0.2901389468374627,1611.061570715465,383.6985,760.9134545454546,768
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,138.78204860689465,0.24206324576552865,2182.5446766069645,375.3095,1005.4792576419214,1024
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,247.96991837327755,0.09218322981658895,1307.1289861264959,373.499,127.71270412399667,128
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,136.0681751619993,0.2647639768779937,2237.642362003116,379.3125,1241.7042459736456,1280
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,220.66807143789688,0.12219420642269706,1428.1662252547696,379.3525,191.55757341576506,192
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,189.41389695309437,0.1293275436574318,1704.7707655037495,378.526,255.35746380429356,256
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,171.70814862074144,0.1449162012854312,1810.6164338822668,374.5865,319.09093692590324,320
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,159.99826563921496,0.1823368797648745,1948.5403179120656,376.256,509.4956730769231,512
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,377.7874286781604,0.07107142805170405,873.836300549033,375.587,63.85124464164849,64
mistralai/Mixtral-8x7B-Instruct-v0.1,NVIDIA H100 80GB HBM3,4,1,165.43368302655426,0.25031915287187956,1820.1202514731915,378.759,760.5022189349113,768
